agent,t,sigma,wager,m_over_b
0,169,0.7296542238328879,0.8107579566830214,0.8107579566830214
0,170,0.7606798391601912,0.8324758874121339,0.8324758874121339
0,171,0.7537242639757985,0.8276069847830589,0.8276069847830589
0,172,0.7807888782693078,0.8465522147885154,0.8465522147885154
0,173,0.7976675496247655,0.8583672847373358,0.8583672847373358
0,174,0.8111855729593515,0.867829901071546,0.867829901071546
0,175,0.798173333088928,0.8587213331622496,0.8587213331622496
0,176,0.8013337213179391,0.8609336049225573,0.8609336049225573
0,177,0.8071937532767227,0.8650356272937059,0.8650356272937059
0,178,0.8117982775083711,0.8682587942558597,0.8682587942558597
0,179,0.8312523089263691,0.8818766162484584,0.8818766162484584
0,180,0.8398200978285273,0.8878740684799691,0.8878740684799691
0,181,0.7833672269653674,0.8483570588757572,0.8483570588757572
0,182,0.8074021313068107,0.8651814919147673,0.8651814919147673
0,183,0.7581763399785842,0.830723437985009,0.830723437985009
0,184,0.7773618116235235,0.8441532681364663,0.8441532681364663
0,185,0.7299796567003098,0.8109857596902168,0.8109857596902168
0,186,0.7523320092021706,0.8266324064415194,0.8266324064415194
0,187,0.7804432452118357,0.8463102716482849,0.8463102716482849
0,188,0.7407537042498655,0.8185275929749058,0.8185275929749058
0,189,0.7573814278079544,0.830166999465568,0.830166999465568
0,190,0.6825899949930626,0.7778129964951438,0.7778129964951438
0,191,0.7213310757450305,0.8049317530215214,0.8049317530215214
0,192,0.7502857956559134,0.8252000569591393,0.8252000569591393
0,193,0.7185352323295072,0.8029746626306551,0.8029746626306551
0,194,0.7362490542352659,0.8153743379646861,0.8153743379646861
0,195,0.7589077348572898,0.8312354144001028,0.8312354144001028
0,196,0.7761620822749848,0.8433134575924894,0.8433134575924894
0,197,0.7942734510153666,0.8559914157107567,0.8559914157107567
0,198,0.7472954440063374,0.8231068108044362,0.8231068108044362
0,199,0.7736044022288933,0.8415230815602253,0.8415230815602253
1,0,1.0,1.0,1.0
1,1,0.8498679089546562,0.8949075362682593,0.8949075362682593
1,2,0.8573469689329288,0.9001428782530501,0.9001428782530501
1,3,0.8672150242242608,0.9070505169569825,0.9070505169569825
1,4,0.8704049652545003,0.90928347567815,0.90928347567815
