t,crps_uniform,crps_uniform_cum,crps_deposit,crps_deposit_cum,crps_skill,crps_skill_cum,crps_mechanism,crps_mechanism_cum,crps_best_single,crps_best_single_cum
168,0.07177333517770579,0.050962397289427565,0.0529555640597543,0.04686415268870581,0.07009062382078521,0.05002430743107923,0.0492013011380803,0.04515627724269853,0.05722983939525274,0.022688935395567877
169,0.04351033123178463,0.050918561606735545,0.04308663121645863,0.04684193197416317,0.04390564088090672,0.04998831527490174,0.04318179064588875,0.04514466261565847,nan,nan
170,0.06959046579741086,0.05102775402890324,0.05471496002929497,0.04688797307390079,0.06648060314264917,0.050084761402783305,0.04961867733979099,0.04517082644445457,nan,nan
171,0.041679770074829314,0.0509734052849842,0.03665689095943846,0.04682849003835159,0.04131346887102998,0.05003376551597078,0.03548758076013034,0.04511452850442943,0.013106272928955645,0.022618988954205742
172,0.06454452532798216,0.051051851065579565,0.05731293082132858,0.04688909374229944,0.06277384231206458,0.05010740757837595,0.053942198160747,0.04516555549666248,nan,nan
173,0.04959389139893422,0.051043471987035634,0.04321405527750951,0.046867972831582255,0.04801743568090604,0.050095396245631876,0.041565175893527866,0.04514486365986285,nan,nan
174,0.07714574073120947,0.05119262780843091,0.0525929735520692,0.04690068712141361,0.07327447824391957,0.050227848142764944,0.045155130061313345,0.045144922325014,0.025879742929577915,0.022642617606201194
175,0.10524633950986613,0.05149975117037089,0.06643050921760958,0.04701165201968745,0.0989485370556707,0.050504670238861,0.05749556983535996,0.045215096458595505,0.01760962674576454,0.022606409038859923
176,0.03730674313645439,0.051419564684303566,0.026433208471364527,0.046895389626759064,0.035437434836658815,0.050419544615119744,0.023602094391673968,0.045092989102285215,0.007394745051988835,0.022497754296096555
177,0.05405262719276662,0.05143435717030617,0.039798487795043816,0.04685551939174944,0.0514494675692652,0.0504253306991318,0.0352900523713999,0.045037916424021815,0.018500854089847033,0.022469407486123156
178,0.06672193365458001,0.05151976262552558,0.05244791492334004,0.04688676182488681,0.06402275946814785,0.05050129398834418,0.04918914488917092,0.04506110764449751,0.015607107019757805,0.022421081426500865
179,0.041983095696098705,0.051466781142584316,0.03560054318001614,0.04682406061019308,0.04135946907873411,0.050450506072179685,0.03512148397990314,0.04500588751302754,nan,nan
180,0.04683643529926341,0.051441199121350506,0.03693517380529996,0.04676942587646439,0.04486722945270922,0.05041965924002791,0.03384230314199259,0.04494421025130912,0.020715700143571884,0.022409155683263602
181,0.04480891930245924,0.05140475802344451,0.035239959682215286,0.04670607716111137,0.043494548747931294,0.050381609182379036,0.03278106591823118,0.044877379787940555,0.014710762774129946,0.02235569462139462
182,0.06557010161113044,0.05148216427255755,0.055543576256770866,0.0467543695058964,0.0628805877028853,0.05044990961145284,0.05129372198222547,0.044912441767144304,nan,nan
183,0.05606362685528752,0.05150706352572456,0.04494468707736035,0.04674453427530652,0.0546119790429644,0.0504725295540154,0.042673246568690724,0.04490027222802228,0.02567201203589109,0.02237856577597735
184,0.04231710552673416,0.051457388077081376,0.03412148908256135,0.04667630159858898,0.040899821974435126,0.05042078518872037,0.033136814667087414,0.044836685970936145,0.01762866226317198,0.022346032190273205
185,0.047229201278509464,0.051434655889992284,0.03513237055313155,0.0466142374531833,0.045700187587214745,0.050395405631723025,0.03543722424687766,0.04478615123048422,0.03397998431985635,0.022425174721766968
186,0.06752172372669854,0.051520682990723335,0.04673172653460978,0.0466148657370412,0.06462574438104363,0.05047150369990121,0.04116942225105809,0.04476681043380279,0.014190891411306505,0.022369537672371965
187,0.04531271729935728,0.051487661896620324,0.04953164743698449,0.046630380533317486,0.04531989668208012,0.05044410153491281,0.053772027933193745,0.044814710526884655,0.012473448710059966,0.022303120967926922
188,0.04523380472110553,0.05145457270521548,0.037749648679981415,0.04658339253409348,0.04390423584219108,0.050409499070930154,0.03664980863776564,0.04477150998778879,0.024864670807854945,0.022320197966859776
189,0.042215174301889515,0.05140594429256639,0.03185021396084005,0.0465058494889711,0.04081346180629071,0.050358993611642575,0.029899112454791554,0.044693234211299324,0.014333923976341792,0.02226730873513449
190,0.04994191085700174,0.05139827919604511,0.03818011736021583,0.0464622592684017,0.04869356447883968,0.050350274087387056,0.03513998758542762,0.04464321721325811,0.005473725585629078,0.02215682463546669
191,0.037701430149780266,0.05132694144059582,0.029967458769368627,0.046376348849135905,0.036688050520044924,0.05027911667297382,0.03113099174888744,0.04457284103896451,0.012256147533412146,0.022092114327610126
192,0.05681456570455774,0.05135537472693759,0.052148636504029865,0.04640625707532707,0.05629422027158833,0.050310283012863014,0.05119552936639273,0.044607155486256884,0.048635070359907856,0.022264471184962706
193,0.0524726601839368,0.05136113393032419,0.038256537584726025,0.04636424821197345,0.050903999452680634,0.05031334340688269,0.039123360068425476,0.044578888499567024,0.03275356163366631,0.022332142736244665
194,0.05217056334428786,0.05136528485039579,0.04667568887996111,0.04636584534360416,0.05139217538624752,0.05031887587857174,0.045872318341745,0.04458552147311666,0.017245231065296674,0.022299534328097562
195,0.05138689941804072,0.051365395128802144,0.03955547690165974,0.046331098565839134,0.04978665509325604,0.05031616046640176,0.0373934359639566,0.04454882715929441,nan,nan
196,0.05559875979706673,0.051386884289554756,0.037166304512806295,0.04628457676861562,0.05187257320832069,0.05032406103869577,0.033349020545476726,0.04449197534907198,0.01789730257248295,0.022271494635386642
197,0.04237600250630578,0.05134137478559895,0.03713575431377242,0.04623837059460126,0.0417500032397401,0.050280757716478816,0.03568425214438636,0.044447491898543266,nan,nan
198,0.04289182845519721,0.05129891475378788,0.03733864002276729,0.04619364833042119,0.041385887701770444,0.05023605987720892,0.036813716962456305,0.04440913122047248,nan,nan
199,0.029486238540943767,0.051189851372723666,0.026663750616958016,0.04609599884185387,0.029030567296128896,0.05013003241430353,0.025673643418191987,0.04431545378146108,nan,nan
200,0.03841540273137147,0.05112629690187117,0.02751280164380132,0.04600354512445063,0.03711870738061172,0.0500652994539369,0.026570349140760903,0.04422716967877103,0.006668437665959504,0.022172741110263686
201,0.08382603491105386,0.051288176793005735,0.06348791984296041,0.0460901014349383,0.08180321074706795,0.05022241782667518,0.059748422856816294,0.04430400756579106,0.014405134775798523,0.022123888240235604
202,0.040035186603953096,0.05123274334379858,0.03950738552947691,0.04605767426299022,0.039630217662879455,0.050170239500745145,0.03925095714544137,0.04427911569179919,nan,nan
203,0.05234824395981447,0.05123821148407317,0.039808638162385335,0.0460270417330853,0.05049327545000367,0.050171823010300334,0.036925134674084,0.044243066765241756,nan,nan
204,0.07686453811164763,0.05136321795542719,0.06216455133450123,0.04610576129211659,0.07408248415820215,0.05028846038175351,0.05888775561610127,0.04431450427183132,nan,nan
205,0.04037224781397948,0.05130986373143958,0.030195386508763217,0.04602852646307119,0.03829464497280129,0.050230237976855684,0.027534132725011297,0.04423304615752636,0.008917163650439397,0.022041346211549375
206,0.07117275104407692,0.05140581970879532,0.059757440727374087,0.04609484972038666,0.07003618276142183,0.05032591886953475,0.05858580014633556,0.04430238313331771,0.05451689733321933,0.022243057709199498
207,0.06584488364104474,0.051475238285392674,0.04544049416288321,0.04609170378020636,0.06154457470312914,0.05037985471488857,0.04105326061361086,0.044286762351972965,0.024787398563024948,0.022258763516939162
208,0.03580691067649031,0.05140027021070893,0.026827197657904395,0.04599952910976473,0.034556829416993215,0.05030414645987472,0.027810819933472293,0.04420793009159737,0.013133936825747955,0.022202782985091363
209,0.04533009605875034,0.05137136461950912,0.03603481196315761,0.04595207807573327,0.044151731339116686,0.050274849245013964,0.034626689755348584,0.04416230513761523,0.017828767905166902,0.022176112161433288
210,0.04315375148964022,0.05133241858571828,0.03807264073998588,0.04591473477082451,0.04202273659277091,0.05023573970637774,0.036723911018747925,0.04412705208491918,0.08490650170778277,0.02255629634050207
211,0.05423264093869612,0.0513460988798361,0.039053686421890596,0.045882371335216325,0.05289979814861682,0.05024830601978453,0.03752821372316375,0.044095925488873165,0.013317406039382302,0.022500640374832674
212,0.07967441882456718,0.051479095687088354,0.05477048650628883,0.0459240995754561,0.07709765475934549,0.050374359300251956,0.055924623420572514,0.044151459281979735,0.003866741903951211,0.022389060144468117
213,0.036382481130719194,0.05140855075925485,0.02354138557584305,0.045819507453962585,0.03495581060812884,0.0503023100072981,0.021503224236783747,0.04404562640793676,0.003161871248598435,0.022274612591516512
214,0.049566941912675064,0.051399985136712616,0.04757494344710453,0.04582767227253534,0.049327837911743805,0.05029777757894669,0.04703756961688249,0.04405954242286209,nan,nan
215,0.05200721032440173,0.0514027963644334,0.042254725879262295,0.04581113085404796,0.051008761960677385,0.050301069173306553,0.040808358782089556,0.04404449064674741,0.018072063124121136,0.022249745434904704
216,0.0538604410132395,0.051414121915810386,0.03702523317325935,0.045770642846302396,0.051825006147620645,0.050308091924340256,0.03494178674540775,0.044002542702501604,0.06017522351736887,0.02247283648244861
217,0.044372460005387276,0.051381820714386434,0.03248793383920863,0.04570971298847169,0.043074348731034176,0.050274909616114076,0.03132495603015155,0.04394438863519724,0.01817136571063412,0.022447681682613435
218,0.04386429866806759,0.05134749412970004,0.03145560871528996,0.04564462575434758,0.0423870968422822,0.0502388922061879,0.028776366379191,0.04387512825959904,0.013698300404023835,0.022396813186807682
219,0.04943209967112225,0.051338787791251964,0.032975223098971856,0.04558703756045951,0.04773196438797439,0.05022749707974148,0.029720525644140953,0.043810789156801505,0.004768358080741582,0.02229491460237955
220,0.04595207322809472,0.05131441351721053,0.031970715137323025,0.04552542524180278,0.04396170319033073,0.05019914507119211,0.03246079401437833,0.04375943171271814,0.020201867797698194,0.02228288559775495
221,0.03662443090792729,0.05124824242437592,0.02842189636338078,0.04544838231892701,0.03542356676480556,0.05013258841215433,0.027581167017318203,0.04368655664652265,0.009927817479098355,0.022212285208505482
222,0.07560697324335072,0.051357474401142626,0.046932033374027,0.04545503546267186,0.07206555024011815,0.050230942501068965,0.04208767577858207,0.043679386777159684,0.01831972385730745,0.0221901683826464
223,0.05819503495101348,0.05138799922502598,0.04191806554015679,0.045439245418374914,0.05660413047495082,0.05025939423309522,0.039430077369123274,0.04366041664587381,0.0316896630144831,0.02224383784384322
