t,method,crps
395,raja_history_free,0.015543
395,vitali_ogd_per_quantile,0.01497
395,mechanism,0.015655
396,uniform,0.015747
396,raja_history_free,0.015586
396,vitali_ogd_per_quantile,0.014972
396,mechanism,0.015667
397,uniform,0.015634
397,raja_history_free,0.015487
397,vitali_ogd_per_quantile,0.014877
397,mechanism,0.015551
398,uniform,0.015881
398,raja_history_free,0.015738
398,vitali_ogd_per_quantile,0.015029
398,mechanism,0.015787
399,uniform,0.015945
399,raja_history_free,0.015798
399,vitali_ogd_per_quantile,0.014977
399,mechanism,0.015814
400,uniform,0.016056
400,raja_history_free,0.015923
400,vitali_ogd_per_quantile,0.015142
400,mechanism,0.015925
401,uniform,0.016103
401,raja_history_free,0.015983
401,vitali_ogd_per_quantile,0.015183
401,mechanism,0.015965
402,uniform,0.016047
402,raja_history_free,0.015931
402,vitali_ogd_per_quantile,0.015146
402,mechanism,0.015911
403,uniform,0.016036
403,raja_history_free,0.01594
403,vitali_ogd_per_quantile,0.015176
403,mechanism,0.015902
404,uniform,0.015996
404,raja_history_free,0.015919
404,vitali_ogd_per_quantile,0.015181
404,mechanism,0.015867
405,uniform,0.01649
405,raja_history_free,0.016435
405,vitali_ogd_per_quantile,0.015713
405,mechanism,0.016367
406,uniform,0.016344
406,raja_history_free,0.016306
406,vitali_ogd_per_quantile,0.015699
406,mechanism,0.016226
407,uniform,0.01662
407,raja_history_free,0.016614
407,vitali_ogd_per_quantile,0.016071
407,mechanism,0.01651
408,uniform,0.016753
408,raja_history_free,0.01678
408,vitali_ogd_per_quantile,0.016181
408,mechanism,0.01667
409,uniform,0.016467
409,raja_history_free,0.016422
409,vitali_ogd_per_quantile,0.015762
409,mechanism,0.016341
410,uniform,0.016327
410,raja_history_free,0.016267
410,vitali_ogd_per_quantile,0.015753
410,mechanism,0.016201
411,uniform,0.016315
411,raja_history_free,0.016264
411,vitali_ogd_per_quantile,0.015654
411,mechanism,0.016185
412,uniform,0.016367
412,raja_history_free,0.016324
412,vitali_ogd_per_quantile,0.015697
412,mechanism,0.016236
413,uniform,0.016594
413,raja_history_free,0.016554
413,vitali_ogd_per_quantile,0.015868
413,mechanism,0.016461
414,uniform,0.017212
414,raja_history_free,0.017182
414,vitali_ogd_per_quantile,0.01621
414,mechanism,0.017056
415,uniform,0.018051
415,raja_history_free,0.018038
415,vitali_ogd_per_quantile,0.016714
415,mechanism,0.017796
416,uniform,0.017778
416,raja_history_free,0.017754
416,vitali_ogd_per_quantile,0.016631
416,mechanism,0.017593
417,uniform,0.01778
417,raja_history_free,0.017768
417,vitali_ogd_per_quantile,0.016706
417,mechanism,0.017605
418,uniform,0.017957
418,raja_history_free,0.017954
418,vitali_ogd_per_quantile,0.016977
418,mechanism,0.017777
419,uniform,0.017969
419,raja_history_free,0.017969
419,vitali_ogd_per_quantile,0.01693
419,mechanism,0.017774
420,uniform,0.017704
420,raja_history_free,0.017681
420,vitali_ogd_per_quantile,0.016535
420,mechanism,0.017495
421,uniform,0.017746
421,raja_history_free,0.017721
421,vitali_ogd_per_quantile,0.016439
421,mechanism,0.017535
422,uniform,0.017773
422,raja_history_free,0.017737
422,vitali_ogd_per_quantile,0.016558
422,mechanism,0.017565
423,uniform,0.017949
423,raja_history_free,0.017919
423,vitali_ogd_per_quantile,0.016644
423,mechanism,0.01774
424,uniform,0.017931
424,raja_history_free,0.017893
424,vitali_ogd_per_quantile,0.016649
424,mechanism,0.017722
425,uniform,0.017923
425,raja_history_free,0.017892
425,vitali_ogd_per_quantile,0.016656
425,mechanism,0.017714
426,uniform,0.018421
426,raja_history_free,0.018391
426,vitali_ogd_per_quantile,0.017145
426,mechanism,0.018212
427,uniform,0.018427
427,raja_history_free,0.018397
427,vitali_ogd_per_quantile,0.017156
427,mechanism,0.01822
428,uniform,0.018161
428,raja_history_free,0.018131
428,vitali_ogd_per_quantile,0.016916
428,mechanism,0.017956
429,uniform,0.018459
429,raja_history_free,0.01844
429,vitali_ogd_per_quantile,0.017159
429,mechanism,0.018255
430,uniform,0.018539
430,raja_history_free,0.018516
430,vitali_ogd_per_quantile,0.017077
430,mechanism,0.018289
431,uniform,0.018527
431,raja_history_free,0.018507
431,vitali_ogd_per_quantile,0.017134
431,mechanism,0.018282
432,uniform,0.018488
432,raja_history_free,0.018471
432,vitali_ogd_per_quantile,0.017128
432,mechanism,0.018245
433,uniform,0.018497
433,raja_history_free,0.018483
433,vitali_ogd_per_quantile,0.017149
433,mechanism,0.018255
434,uniform,0.018523
434,raja_history_free,0.018506
434,vitali_ogd_per_quantile,0.01713
434,mechanism,0.018279
435,uniform,0.018529
435,raja_history_free,0.018513
435,vitali_ogd_per_quantile,0.017197
435,mechanism,0.018288
436,uniform,0.018548
436,raja_history_free,0.018529
436,vitali_ogd_per_quantile,0.017259
436,mechanism,0.018314
437,uniform,0.018619
437,raja_history_free,0.0186
437,vitali_ogd_per_quantile,0.017223
437,mechanism,0.018384
438,uniform,0.018643
438,raja_history_free,0.018624
438,vitali_ogd_per_quantile,0.017298
438,mechanism,0.018406
439,uniform,0.018774
439,raja_history_free,0.018756
439,vitali_ogd_per_quantile,0.017435
439,mechanism,0.018537
440,uniform,0.01866
440,raja_history_free,0.018643
440,vitali_ogd_per_quantile,0.017374
440,mechanism,0.018427
441,uniform,0.018844
441,raja_history_free,0.018826
441,vitali_ogd_per_quantile,0.017554
441,mechanism,0.018608
442,uniform,0.018858
442,raja_history_free,0.01884
442,vitali_ogd_per_quantile,0.017546
442,mechanism,0.01862
443,uniform,0.018815
443,raja_history_free,0.018799
443,vitali_ogd_per_quantile,0.017505
443,mechanism,0.018575
444,uniform,0.019246
444,raja_history_free,0.019232
444,vitali_ogd_per_quantile,0.017892
444,mechanism,0.019006
445,uniform,0.019408
445,raja_history_free,0.019397
445,vitali_ogd_per_quantile,0.017947
445,mechanism,0.019159
446,uniform,0.019439
446,raja_history_free,0.01943
446,vitali_ogd_per_quantile,0.017972
446,mechanism,0.019182
447,uniform,0.019364
447,raja_history_free,0.019359
447,vitali_ogd_per_quantile,0.017925
447,mechanism,0.019106
448,uniform,0.019399
448,raja_history_free,0.019396
448,vitali_ogd_per_quantile,0.017916
448,mechanism,0.019138
449,uniform,0.019349
449,raja_history_free,0.019349
449,vitali_ogd_per_quantile,0.017896
449,mechanism,0.01909
450,uniform,0.019343
450,raja_history_free,0.019343
450,vitali_ogd_per_quantile,0.017889
450,mechanism,0.019084
451,uniform,0.019286
451,raja_history_free,0.019287
451,vitali_ogd_per_quantile,0.017862
451,mechanism,0.019028
452,uniform,0.019293
452,raja_history_free,0.019295
452,vitali_ogd_per_quantile,0.017892
452,mechanism,0.019037
453,uniform,0.019274
453,raja_history_free,0.019278
453,vitali_ogd_per_quantile,0.017901
453,mechanism,0.01902
454,uniform,0.019308
454,raja_history_free,0.019312
454,vitali_ogd_per_quantile,0.017928
454,mechanism,0.019055
455,uniform,0.019345
455,raja_history_free,0.01935
455,vitali_ogd_per_quantile,0.017971
455,mechanism,0.019093
456,uniform,0.019259
456,raja_history_free,0.019266
456,vitali_ogd_per_quantile,0.017935
456,mechanism,0.019009
457,uniform,0.019268
457,raja_history_free,0.019274
457,vitali_ogd_per_quantile,0.017891
457,mechanism,0.019016
458,uniform,0.019486
458,raja_history_free,0.019493
458,vitali_ogd_per_quantile,0.018095
458,mechanism,0.019235
459,uniform,0.019495
459,raja_history_free,0.019501
459,vitali_ogd_per_quantile,0.018143
459,mechanism,0.019244
460,uniform,0.019515
460,raja_history_free,0.019521
460,vitali_ogd_per_quantile,0.018171
460,mechanism,0.019264
461,uniform,0.019896
461,raja_history_free,0.019903
461,vitali_ogd_per_quantile,0.018647
461,mechanism,0.019641
462,uniform,0.020015
462,raja_history_free,0.020022
462,vitali_ogd_per_quantile,0.018644
462,mechanism,0.01977
463,uniform,0.019899
463,raja_history_free,0.019908
463,vitali_ogd_per_quantile,0.018594
463,mechanism,0.019654
464,uniform,0.019889
464,raja_history_free,0.019895
464,vitali_ogd_per_quantile,0.018546
464,mechanism,0.019643
465,uniform,0.019528
465,raja_history_free,0.019535
465,vitali_ogd_per_quantile,0.018218
465,mechanism,0.01928
466,uniform,0.018933
466,raja_history_free,0.01894
466,vitali_ogd_per_quantile,0.017813
466,mechanism,0.018685
467,uniform,0.018965
467,raja_history_free,0.018973
467,vitali_ogd_per_quantile,0.017701
467,mechanism,0.018704
468,uniform,0.019114
468,raja_history_free,0.019121
468,vitali_ogd_per_quantile,0.017878
468,mechanism,0.018854
469,uniform,0.019143
469,raja_history_free,0.01915
469,vitali_ogd_per_quantile,0.017872
469,mechanism,0.018887
470,uniform,0.019155
470,raja_history_free,0.019162
470,vitali_ogd_per_quantile,0.017859
470,mechanism,0.0189
471,uniform,0.019082
471,raja_history_free,0.019088
471,vitali_ogd_per_quantile,0.017778
471,mechanism,0.018828
472,uniform,0.019151
472,raja_history_free,0.019157
472,vitali_ogd_per_quantile,0.017817
472,mechanism,0.018897
473,uniform,0.019121
473,raja_history_free,0.019127
473,vitali_ogd_per_quantile,0.017761
473,mechanism,0.018866
474,uniform,0.019095
474,raja_history_free,0.019102
474,vitali_ogd_per_quantile,0.017743
474,mechanism,0.018837
475,uniform,0.019051
475,raja_history_free,0.019058
475,vitali_ogd_per_quantile,0.01775
475,mechanism,0.018797
476,uniform,0.019258
476,raja_history_free,0.019266
476,vitali_ogd_per_quantile,0.017945
476,mechanism,0.019004
477,uniform,0.019297
477,raja_history_free,0.019305
477,vitali_ogd_per_quantile,0.017929
477,mechanism,0.019044
478,uniform,0.019661
478,raja_history_free,0.01967
478,vitali_ogd_per_quantile,0.018227
478,mechanism,0.019405
479,uniform,0.019649
479,raja_history_free,0.019661
479,vitali_ogd_per_quantile,0.018196
479,mechanism,0.01938
480,uniform,0.01977
480,raja_history_free,0.019785
480,vitali_ogd_per_quantile,0.018254
480,mechanism,0.019481
481,uniform,0.019789
481,raja_history_free,0.019803
481,vitali_ogd_per_quantile,0.018318
481,mechanism,0.019508
482,uniform,0.019803
482,raja_history_free,0.019817
482,vitali_ogd_per_quantile,0.018336
482,mechanism,0.019521
483,uniform,0.019822
483,raja_history_free,0.019838
483,vitali_ogd_per_quantile,0.018372
483,mechanism,0.01954
484,uniform,0.019766
484,raja_history_free,0.019784
484,vitali_ogd_per_quantile,0.018357
484,mechanism,0.019487
485,uniform,0.019771
485,raja_history_free,0.019789
485,vitali_ogd_per_quantile,0.018429
485,mechanism,0.019498
486,uniform,0.019505
486,raja_history_free,0.019524
486,vitali_ogd_per_quantile,0.018244
486,mechanism,0.019245
487,uniform,0.019426
487,raja_history_free,0.019447
487,vitali_ogd_per_quantile,0.018272
487,mechanism,0.019188
488,uniform,0.019467
488,raja_history_free,0.019486
488,vitali_ogd_per_quantile,0.018174
488,mechanism,0.019203
489,uniform,0.019484
489,raja_history_free,0.019503
489,vitali_ogd_per_quantile,0.018216
489,mechanism,0.019221
490,uniform,0.01931
490,raja_history_free,0.019331
490,vitali_ogd_per_quantile,0.018064
490,mechanism,0.019046
491,uniform,0.019143
491,raja_history_free,0.019166
491,vitali_ogd_per_quantile,0.017998
491,mechanism,0.018889
492,uniform,0.019254
492,raja_history_free,0.019277
492,vitali_ogd_per_quantile,0.018113
492,mechanism,0.019006
493,uniform,0.019428
493,raja_history_free,0.019452
493,vitali_ogd_per_quantile,0.018237
493,mechanism,0.019181
494,uniform,0.01893
494,raja_history_free,0.018957
494,vitali_ogd_per_quantile,0.017818
494,mechanism,0.01869
495,uniform,0.019133
495,raja_history_free,0.019162
495,vitali_ogd_per_quantile,0.01794
495,mechanism,0.018893
496,uniform,0.019092
496,raja_history_free,0.019122
496,vitali_ogd_per_quantile,0.018013
496,mechanism,0.018871
497,uniform,0.01913
497,raja_history_free,0.01916
497,vitali_ogd_per_quantile,0.018072
497,mechanism,0.018915
498,uniform,0.018856
498,raja_history_free,0.018888
498,vitali_ogd_per_quantile,0.017863
498,mechanism,0.018653
499,uniform,0.018771
499,raja_history_free,0.018806
499,vitali_ogd_per_quantile,0.017898
499,mechanism,0.018605
500,uniform,0.018658
500,raja_history_free,0.018694
500,vitali_ogd_per_quantile,0.017769
500,mechanism,0.018493
501,uniform,0.018618
501,raja_history_free,0.018653
501,vitali_ogd_per_quantile,0.017797
501,mechanism,0.018461
502,uniform,0.018689
502,raja_history_free,0.018725
502,vitali_ogd_per_quantile,0.017828
502,mechanism,0.018529
503,uniform,0.019058
503,raja_history_free,0.019093
503,vitali_ogd_per_quantile,0.018129
503,mechanism,0.018899
504,uniform,0.019114
504,raja_history_free,0.019148
504,vitali_ogd_per_quantile,0.018092
504,mechanism,0.018941
505,uniform,0.018605
505,raja_history_free,0.018639
505,vitali_ogd_per_quantile,0.017588
505,mechanism,0.018428
506,uniform,0.018616
506,raja_history_free,0.018651
506,vitali_ogd_per_quantile,0.017469
506,mechanism,0.018438
507,uniform,0.018665
507,raja_history_free,0.018699
507,vitali_ogd_per_quantile,0.017429
507,mechanism,0.018481
508,uniform,0.018305
508,raja_history_free,0.018339
508,vitali_ogd_per_quantile,0.017237
508,mechanism,0.018115
509,uniform,0.018319
509,raja_history_free,0.018352
509,vitali_ogd_per_quantile,0.017227
509,mechanism,0.018131
510,uniform,0.018103
510,raja_history_free,0.018137
510,vitali_ogd_per_quantile,0.016929
510,mechanism,0.017912
511,uniform,0.0181
511,raja_history_free,0.018133
511,vitali_ogd_per_quantile,0.016941
511,mechanism,0.017908
512,uniform,0.01816
512,raja_history_free,0.018192
512,vitali_ogd_per_quantile,0.017039
512,mechanism,0.017967
513,uniform,0.017832
513,raja_history_free,0.017863
513,vitali_ogd_per_quantile,0.016794
513,mechanism,0.017641
514,uniform,0.017374
514,raja_history_free,0.017403
514,vitali_ogd_per_quantile,0.016495
514,mechanism,0.017201
515,uniform,0.016568
