t,method,crps
600,vitali_ogd_per_quantile,0.035534
600,mechanism,0.039476
601,uniform,0.042336
601,raja_history_free,0.041817
601,vitali_ogd_per_quantile,0.035417
601,mechanism,0.039548
602,uniform,0.042332
602,raja_history_free,0.041808
602,vitali_ogd_per_quantile,0.035342
602,mechanism,0.039527
603,uniform,0.042211
603,raja_history_free,0.041687
603,vitali_ogd_per_quantile,0.035197
603,mechanism,0.039399
604,uniform,0.041908
604,raja_history_free,0.041386
604,vitali_ogd_per_quantile,0.034901
604,mechanism,0.039092
605,uniform,0.041765
605,raja_history_free,0.041249
605,vitali_ogd_per_quantile,0.034822
605,mechanism,0.038956
606,uniform,0.041683
606,raja_history_free,0.041165
606,vitali_ogd_per_quantile,0.034669
606,mechanism,0.038865
607,uniform,0.041388
607,raja_history_free,0.040869
607,vitali_ogd_per_quantile,0.034374
607,mechanism,0.03857
608,uniform,0.041329
608,raja_history_free,0.040809
608,vitali_ogd_per_quantile,0.034273
608,mechanism,0.03851
609,uniform,0.041212
609,raja_history_free,0.040692
609,vitali_ogd_per_quantile,0.034155
609,mechanism,0.038392
610,uniform,0.04104
610,raja_history_free,0.040517
610,vitali_ogd_per_quantile,0.033939
610,mechanism,0.038218
611,uniform,0.040781
611,raja_history_free,0.04026
611,vitali_ogd_per_quantile,0.033684
611,mechanism,0.037947
612,uniform,0.040557
612,raja_history_free,0.040044
612,vitali_ogd_per_quantile,0.033529
